Output,Net pattern,Expanded net,Primary sheet,Source artifact,Default state,Safety rule
OUT9,OUTn_OV_SET,OUT9_OV_SET,output-channel-template.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,TBD not final until schematic review,Local controller network must close in output-stage design values
OUT9,OUTn_INP,OUT9_INP,output-channel-template.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,TBD not final until schematic review,Local controller network must close in output-stage design values
OUT9,OUTn_FLT,OUT9_FLT,outputs-1-10.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,Fault until controller valid,Fault signal must not encode accessory role
OUT9,OUTn_IMON,OUT9_IMON,outputs-1-10.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,Zero volts when output is off,ADC-safe scaling and calibration required
OUT9,OUTn_IWRN_SET,OUT9_IWRN_SET,output-channel-template.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,TBD not final until schematic review,Local controller network must close in output-stage design values
OUT9,OUTn_TMR,OUT9_TMR,output-channel-template.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,TBD not final until schematic review,Local controller network must close in output-stage design values
OUT9,OUTn_DIODE,OUT9_DIODE,output-channel-template.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,TBD not final until schematic review,Local controller network must close in output-stage design values
OUT9,OUTn_BST,OUT9_BST,output-channel-template.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,TBD not final until schematic review,Local controller network must close in output-stage design values
OUT9,OUTn_SRC,OUT9_SRC,output-channel-template.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,TBD not final until schematic review,Local controller network must close in output-stage design values
OUT9,OUTn_PD,OUT9_PD,output-channel-template.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,TBD not final until schematic review,Local controller network must close in output-stage design values
OUT9,OUTn_PU,OUT9_PU,output-channel-template.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,TBD not final until schematic review,Local controller network must close in output-stage design values
OUT9,OUTn_CS_N,OUT9_CS_N,output-channel-template.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,TBD not final until schematic review,Local controller network must close in output-stage design values
OUT9,OUTn_CS_P,OUT9_CS_P,output-channel-template.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,TBD not final until schematic review,Local controller network must close in output-stage design values
OUT9,OUTn_ISCP_SET,OUT9_ISCP_SET,output-channel-template.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,TBD not final until schematic review,Local controller network must close in output-stage design values
OUT9,OUTn_LOAD,OUT9_LOAD,outputs-1-10.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,Off by default,Must pass fuse current SOA and thermal review
OUT9,OUTn_FUSED,OUT9_FUSED,outputs-1-10.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,Off by default,Must remain generic and user-fuse protected
OUT10,OUTn_CTL,OUT10_CTL,outputs-1-10.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,LB-100 command net; pulled low/off,Configuration maps roles; schematic remains generic
OUT10,OUTn_OV_SET,OUT10_OV_SET,output-channel-template.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,TBD not final until schematic review,Local controller network must close in output-stage design values
OUT10,OUTn_INP,OUT10_INP,output-channel-template.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,TBD not final until schematic review,Local controller network must close in output-stage design values
OUT10,OUTn_FLT,OUT10_FLT,outputs-1-10.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,Fault until controller valid,Fault signal must not encode accessory role
OUT10,OUTn_IMON,OUT10_IMON,outputs-1-10.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,Zero volts when output is off,ADC-safe scaling and calibration required
OUT10,OUTn_IWRN_SET,OUT10_IWRN_SET,output-channel-template.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,TBD not final until schematic review,Local controller network must close in output-stage design values
OUT10,OUTn_TMR,OUT10_TMR,output-channel-template.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,TBD not final until schematic review,Local controller network must close in output-stage design values
OUT10,OUTn_DIODE,OUT10_DIODE,output-channel-template.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,TBD not final until schematic review,Local controller network must close in output-stage design values
OUT10,OUTn_BST,OUT10_BST,output-channel-template.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,TBD not final until schematic review,Local controller network must close in output-stage design values
OUT10,OUTn_SRC,OUT10_SRC,output-channel-template.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,TBD not final until schematic review,Local controller network must close in output-stage design values
OUT10,OUTn_PD,OUT10_PD,output-channel-template.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,TBD not final until schematic review,Local controller network must close in output-stage design values
OUT10,OUTn_PU,OUT10_PU,output-channel-template.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,TBD not final until schematic review,Local controller network must close in output-stage design values
OUT10,OUTn_CS_N,OUT10_CS_N,output-channel-template.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,TBD not final until schematic review,Local controller network must close in output-stage design values
OUT10,OUTn_CS_P,OUT10_CS_P,output-channel-template.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,TBD not final until schematic review,Local controller network must close in output-stage design values
OUT10,OUTn_ISCP_SET,OUT10_ISCP_SET,output-channel-template.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,TBD not final until schematic review,Local controller network must close in output-stage design values
OUT10,OUTn_LOAD,OUT10_LOAD,outputs-1-10.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,Off by default,Must pass fuse current SOA and thermal review
OUT10,OUTn_FUSED,OUT10_FUSED,outputs-1-10.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,Off by default,Must remain generic and user-fuse protected
